PublicationName,PublicationDescription,PublicationSource,PublicationAuthorName,PublicationSector&Theme,PublicationDate,DocumentLanguage,REC,Countries,DocumentTags,PublicationRating,PublicationComments,DocumentType
"Africa Annual Nutrient Depletion in Agroecological Zones Map (Average, 2000)",A Map of Africa depicting its Average Annual Nutrient Depletion (NPK) across all the various Agroecological Zones on the continent for the year 2000.,IFDC,IFDC (Resource Development Division),679|1648,,en-US,692,"563,564,565,566,567,568,588,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638,693","Africa, Agro, Depletion, Ecological, Nutrient, Zones",4,,.jpg
Africa Natural Vegetation Map,A Map of Africa depicting its Natural Vegetations across all the various regions on the continent.,IFDC,,679|1648,,en-US,692,"563,564,565,566,567,568,588,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638,693","Africa, Natural, Vegetation",3,,.jpg
Rwanda Soil pH Map,A Map of Rwanda depicting its Soil pH ranges across the country.,IFDC,Rwanda Ministry of Agriculture and Natural Resources & IFDC,679|1648,,en-US,"692,650,688,689","563,564,565,566,567,568,588,592,593,594,595,597,596,598,599,600,601,602,603,604,605,606,607,608,609,610,693,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638","Rwanda, ""Soil pH""",4,,.jpg
The Abuja Declaration (2006),The African Union Ministers of Agriculture convened in Abuja in June 2006 for the Africa Fertilizer Summit and wrote on the 13th of June of 2006 the Abuja Declaration on Fertilizer for the African Green Revolution.,NEPAD,,,Jun 13 2006 12:00AM,en-US,"692,696","563,564,565,566,567,568,588,592,593,594,595,597,596,598,599,600,601,602,603,604,605,606,607,608,609,610,693,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638","""Abuja Declaration""",5,,.pdf
Short Term Fertilizer Outlook: 2011 - 2012,"The International Fertilizer Industry Association (IFA) has just released its short-term Fertilizer Outlook 2012-2013 to the public. The report shows that the fertilizer sector has now fully recuperated from the setback of 2008/09 and is maintaining a steady stream of investment in new capacity, capitalizing on the positive forecasts of a 3 per cent increase in consumption worldwide for the main nutrients &ndash; nitrogen (N), phosphorus (P) and potassium (K) &ndash; in 2012.",IFA,Patrick Heffer and Michel Prudâ€™homme,679|1640,12-2011,en-US,692,"0,563,564,565,566,567,568,588,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638,693",,5,,.pdf
"Kenya - Fertilizer Market Assessment (IFDC / AFAP, June 2012)","The goal of this study conducted by IFDC is to estimate the fertilizer requirements needed to achieve nationwide country investment plan crop production targets and to identify the primary constraints in the fertilizer supply chain that might hinder the flow of fertilizers in Kenya.                                                                                             This study was commissioned and funded by USAID under the Feed the Future Initiative, and is part of a set of studies covering 12 countries in sub Saharan Africa in support of the African Fertilizer and Agribusiness Partnership.
",IFDC/AFAP,IFDC,679|1639|1640|1641|1642|1643|1644|1645|1646|1647|1648,06-2012,en-US,,"609,","assessment, demand, supply",4,,.pdf
Africa Soil Health Consortium - May 2014 newsletter,"
	In this issue:

	1.How the Africa Soil Health Consortium helped IPNI find its voice with smallholders in Western Kenya.
2	K	enya' syoung people use innovative poster designs to encourage smart farming 4
3.		The ISFM superheroes
4.		ASHC working with universities
5.		The legacy of phase 1 of ASHC
6.AGRA funding supports a fresh approach to fertilizer recommendations in Africa
7.		A winning partnership
	8.	Cassava Field Guide Launched
",CABI,CABI,679|1645,05-2014,en-US,692,"0,563,564,565,566,567,568,588,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,636,637,638,693","AGRA, ""fertilizer recommendations"", ISFM, OPRA",3,,.pdf
"Tanzania - Fertilizer Consumption and Fertilizer Use by Crop (2014, main report)","Commissioned by AfricaFertilizer.org, this report provides information on the various agro-ecological zones and farming systems; the supply of fertilizers, their distribution and systems of payment; recommended rates of fertilizer application for the economically important crops; the harvested area, yield of crops by regions, fertilizer use by region and by crops from the period of 2010 to 2012; and fertilizer policy and future fertilizer requirements.",AFO,Franks KAMHABWA,679|1639|1640|1641|1642|1643|1644|1645|1646|1647,01-2014,en-US,,"632,","consumption, FUBC, tanzania",5,,.pdf
"Tanzania - Fertilizer Consumption and Fertilizer Use by Crop (2014, annexes)","Commissioned by AfricaFertilizer.org, this report provides information on the various agro-ecological zones and farming systems; the supply of fertilizers, their distribution and systems of payment; recommended rates of fertilizer application for the economically important crops; the harvested area, yield of crops by regions, fertilizer use by region and by crops from the period of 2010 to 2012; and fertilizer policy and future fertilizer requirements.

This annex contains fertilizer data and statistics from MAFC, TRA, and TFRA used in the main report.",AFO,Franks KAMHABWA,679|1639|1640|1641|1642|1643|1644|1645|1646,01-2014,en-US,,"632,","consumption, FUBC, tanzania",5,,.xls
"Tanzania - Fertilizer Consumption and Fertilizer Use by Crop (2014, FUBC data)","Commissioned by AfricaFertilizer.org, this report provides information on the various agro-ecological zones and farming systems; the supply of fertilizers, their distribution and systems of payment; recommended rates of fertilizer application for the economically important crops; the harvested area, yield of crops by regions, fertilizer use by region and by crops from the period of 2010 to 2012; and fertilizer policy and future fertilizer requirements.                         This annex contains tables of fertilizer use for main crops in Tanzania (2009, 2010, 2011).",AFO,Franks KAMHABWA,679|1642|1643|1644|1646,01-2014,en-US,,"632,","consumption, FUBC, tanzania",5,,.xls
