"LANG","code","continent",Country,nameE,asd
"EN","150","Europe","Albania","the Republic of Albania","Yes"
"EN","142","Asia","Armenia","the Republic of Armenia","Yes"
"EN","150","Europe","Austria","the Republic of Austria","Yes"
"EN","009","Oceania","Australia","Australia","Yes"
"EN","142","Asia","Azerbaijan","the Republic of Azerbaijan","Yes"
"EN","142","Asia","Bangladesh","the People's Republic of Bangladesh","Yes"
"EN","150","Europe","Bulgaria","the Republic of Bulgaria","Yes"
"EN","142","Asia","Bhutan","the Kingdom of Bhutan","Yes"
"EN","150","Europe","Belarus","the Republic of Belarus","Yes"
"EN","419","Latin America and the Caribbean","Belize","Belize","Yes"
"EN","021","Northern America","Canada","Canada","Yes"
"EN","142","Asia","Cyprus","the Republic of Cyprus","Yes"
"EN","150","Europe","Czech Republic","the Czech Republic","Yes"
"EN","150","Europe","Denmark","the Kingdom of Denmark","Yes"
"EN","150","Europe","Estonia","the Republic of Estonia","Yes"
"EN","002","Africa","Egypt","the Arab Republic of Egypt","Yes"
"EN","150","Europe","Finland","the Republic of Finland","Yes"
"EN","142","Asia","Georgia","Georgia","Yes"
"EN","002","Africa","Ghana","the Republic of Ghana","Yes"
"EN","142","Asia","China, Hong Kong","China, Hong Kong Special Administrative Region","Yes"
"EN","150","Europe","Bosnia and Herzegovina","China, Hong Kong Special Administrative Region","No"
"EN","150","Europe","Hungary","Hungary","Yes"
"EN","150","Europe","Ireland","Ireland","Yes"
"EN","142","Asia","Israel","the State of Israel","Yes"
"EN","142","Asia","India","the Republic of India","Yes"
"EN","142","Asia","Iran (Islamic Republic of)","the Islamic Republic of Iran","Yes"
"EN","150","Europe","Iceland","the Republic of Iceland","Yes"
"EN","419","Latin America and the Caribbean","Jamaica","Jamaica","Yes"
"EN","142","Asia","Jordan","the Hashemite Kingdom of Jordan","Yes"
"EN","142","Asia","Japan","Japan","Yes"
"EN","002","Africa","Kenya","the Republic of Kenya","Yes"
"EN","142","Asia","Kyrgyzstan","the Kyrgyz Republic","Yes"
"EN","002","Africa","Lesotho","the Kingdom of Lesotho","Yes"
"EN","150","Europe","Lithuania","the Republic of Lithuania","Yes"
"EN","150","Europe","Latvia","the Republic of Latvia","Yes"
"EN","150","Europe","Croatia","the Republic of Croatia","Yes"
"EN","142","Asia","Mongolia","Mongolia","Yes"
"EN","142","Asia","China, Macao ","China, Macao Special Administrative Region","Yes"
"EN","150","Europe","Greece","the Hellenic Republic","No"
"EN","002","Africa","Mauritius","the Republic of Mauritius","Yes"
"EN","142","Asia","Malaysia","Malaysia","Yes"
"EN","150","Europe","Netherlands","the Kingdom of the Netherlands","Yes"
"EN","150","Europe","Norway","the Kingdom of Norway","Yes"
"EN","009","Oceania","Nauru","the Republic of Nauru","Yes"
"EN","009","Oceania","New Zealand","New Zealand","Yes"
"EN","142","Asia","Philippines","the Republic of the Philippines","Yes"
"EN","150","Europe","Poland","the Republic of Poland","Yes"
"EN","142","Asia","Palestine","Palestine","Yes"
"EN","150","Europe","Romania","Romania","Yes"
"EN","150","Europe","Russian Federation","the Russian Federation","Yes"
"EN","150","Europe","Slovenia","the Republic of Slovenia","Yes"
"EN","150","Europe","Italy","the Republic of Italy","Yes"
"EN","002","Africa","Sierra Leone","the Republic of Sierra Leone","Yes"
"EN","142","Asia","Syrian Arab Republic","the Syrian Arab Republic","Yes"
"EN","142","Asia","Thailand","the Kingdom of Thailand","Yes"
"EN","142","Asia","Turkey","the Republic of Turkey","Yes"
"EN","150","Europe","Ukraine","Ukraine","Yes"
"EN","142","Asia","Viet Nam","the Socialist Republic of Viet Nam","Yes"
"EN","002","Africa","South Africa","the Republic of South Africa","Yes"
"EN","002","Africa","Zimbabwe","the Republic of Zimbabwe","Yes"
"EN","150","Europe","Germany","the Federal Republic of Germany","Yes"
"EN","150","Europe","Malta","the Republic of Malta","Yes"
"EN","142","Asia","Afghanistan","The Islamic Republic of Afghanistan","Yes"
"EN","002","Africa","Ethiopia","the Federal Democratic Republic of Ethiopia","Yes"
"EN","009","Oceania","Cook Islands","the Cook Islands","Yes"
"EN","142","Asia","Iraq","the Republic of Iraq","Yes"
"EN","150","Europe","Montenegro","Montenegro","Yes"
"EN","150","Europe","Republic of Moldova","the Republic of Moldova","Yes"
"EN","142","Asia","China","the People's Republic of China","Yes"
"EN","002","Africa","Seychelles","the Republic of Seychelles","Yes"
"EN","009","Oceania","Tonga","the Kingdom of Tonga","Yes"
"EN","142","Asia","United Arab Emirates","the United Arab Emirates","No"
"EN","419","Latin America and the Caribbean","Antigua and Barbuda","Antigua and Barbuda","No"
"PT","150","Europe","Portugal","República Portuguesa","No"
"EN","419","Latin America and the Caribbean","Barbados","Barbados","No"
"EN","142","Asia","Bahrain","the Kingdom of Bahrain","No"
"EN","142","Asia","Brunei Darussalam","Brunei Darussalam","No"
"EN","419","Latin America and the Caribbean","Bahamas","the Commonwealth of the Bahamas","No"
"EN","002","Africa","Botswana","the Republic of Botswana","No"
"EN","419","Latin America and the Caribbean","Dominica","the Commonwealth of Dominica","No"
"EN","002","Africa","Eritrea","the State of Eritrea","No"
"EN","009","Oceania","Fiji","the Republic of Fiji","No"
"EN","009","Oceania","Micronesia (Federated States of)","the Federated States of Micronesia","No"
"EN","150","Europe","United Kingdom","the United Kingdom of Great Britain and Northern Ireland","No"
"EN","419","Latin America and the Caribbean","Grenada","Grenada","No"
"EN","002","Africa","Gambia","the Republic of the Gambia","No"
"EN","150","Europe","Serbia","the Republic of Serbia","No"
"EN","419","Latin America and the Caribbean","Guyana","the Republic of Guyana","No"
"EN","142","Asia","Indonesia","the Republic of Indonesia","No"
"EN","142","Asia","Cambodia","the Kingdom of Cambodia","No"
"EN","009","Oceania","Kiribati","the Republic of Kiribati","No"
"EN","419","Latin America and the Caribbean","Saint Kitts and Nevis","Saint Kitts and Nevis","No"
"EN","142","Asia","Democratic People's Republic of Korea","the Democratic People's Republic of Korea","No"
"EN","142","Asia","Republic of Korea","the Republic of Korea","No"
"EN","142","Asia","Kuwait","the State of Kuwait","No"
"EN","142","Asia","Kazakhstan","the Republic of Kazakhstan","No"
"EN","142","Asia","Lao People's Democratic Republic","the Lao People's Democratic Republic","No"
"EN","419","Latin America and the Caribbean","Saint Lucia","Saint Lucia","No"
"EN","142","Asia","Sri Lanka","the Democratic Socialist Republic of Sri Lanka","No"
"EN","002","Africa","Liberia","the Republic of Liberia","No"
"EN","002","Africa","Libya","Libya","No"
"EN","009","Oceania","Marshall Islands","the Republic of the Marshall Islands","No"
"EN","142","Asia","Myanmar","the Republic of the Union of Myanmar","No"
"EN","142","Asia","Maldives","the Republic of Maldives","No"
"EN","002","Africa","Malawi","the Republic of Malawi","No"
"EN","002","Africa","Namibia","the Republic of Namibia","No"
"EN","002","Africa","Nigeria","the Federal Republic of Nigeria","No"
"EN","142","Asia","Nepal","the Federal Democratic Republic of Nepal","No"
"EN","009","Oceania","Niue","Niue","No"
"EN","142","Asia","Oman","the Sultanate of Oman","No"
"EN","009","Oceania","Papua New Guinea","Independent State of Papua New Guinea","No"
"EN","142","Asia","Pakistan","the Islamic Republic of Pakistan","No"
"EN","009","Oceania","Palau","the Republic of Palau","No"
"EN","142","Asia","Qatar","the State of Qatar","No"
"EN","150","Europe","Slovakia","the Slovak Republic","Yes"
"EN","142","Asia","Saudi Arabia","the Kingdom of Saudi Arabia","No"
"EN","009","Oceania","Solomon Islands","Solomon Islands","No"
"EN","002","Africa","Sudan","the Republic of the Sudan","No"
"EN","002","Africa","the Republic of South Sudan","the Republic of South Sudan","No"
"EN","150","Europe","Sweden","the Kingdom of Sweden","Yes"
"EN","142","Asia","Singapore","the Republic of Singapore","No"
"EN","002","Africa","Somalia","the Federal Republic of Somalia","No"
"EN","419","Latin America and the Caribbean","Suriname","the Republic of Suriname","Yes"
"EN","002","Africa","Swaziland","the Kingdom of Swaziland","No"
"EN","142","Asia","Tajikistan","the Republic of Tajikistan","No"
"EN","142","Asia","Timor-Leste","the Democratic Republic of Timor-Leste","No"
"EN","142","Asia","Turkmenistan","Turkmenistan","No"
"EN","419","Latin America and the Caribbean","Trinidad and Tobago","the Republic of Trinidad and Tobago","No"
"EN","009","Oceania","Tuvalu","Tuvalu","No"
"EN","002","Africa","United Republic of Tanzania","the United Republic of Tanzania","No"
"EN","002","Africa","Uganda","the Republic of Uganda","No"
"EN","021","Northern America","United States of America","the United States of America","No"
"EN","142","Asia","Uzbekistan","the Republic of Uzbekistan","No"
"EN","419","Latin America and the Caribbean","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","No"
"EN","009","Oceania","Vanuatu","the Republic of Vanuatu","No"
"EN","009","Oceania","Samoa","the Independent State of Samoa","No"
"EN","142","Asia","Yemen","the Republic of Yemen","No"
"EN","002","Africa","Zambia","the Republic of Zambia","No"
"FR","150","Europe","Switzerland","la Confédération suisse","Yes"
"FR","002","Africa","Cameroon","la République du Cameroun","Yes"
"FR","150","Europe","Luxembourg","le Grand-Duché de Luxembourg","Yes"
"FR","002","Africa","Mali","la République du Mali","Yes"
"FR","002","Africa","Morocco","le Royaume du Maroc","Yes"
"FR","002","Africa","Rwanda","la République du Rwanda","Yes"
"FR","002","Africa","Senegal","la République du Sénégal","Yes"
"FR","002","Africa","Togo","la République togolaise","Yes"
"FR","002","Africa","Tunisia","la République tunisienne","Yes"
"FR","150","Europe","Belgium","le Royaume de Belgique","Yes"
"FR","002","Africa","Burkina Faso","le Burkina Faso","Yes"
"FR","002","Africa","Benin","la République du Bénin","No"
"FR","002","Africa","Democratic Republic of the Congo","la République démocratique du Congo","No"
"FR","002","Africa","Central African Republic","la République centrafricaine","No"
"FR","002","Africa","Congo","la République du Congo","No"
"FR","002","Africa","Côte d'Ivoire","Côte d'Ivoire","No"
"FR","002","Africa","Djibouti","la République de Djibouti","No"
"FR","002","Africa","Algeria","la République algérienne démocratique et populaire","No"
"FR","150","Europe","France","la République française","No"
"FR","002","Africa","Gabon","la République gabonaise","No"
"FR","002","Africa","Guinea","la République de Guinée","No"
"FR","419","Latin America and the Caribbean","Haiti","la République d'Haïti","No"
"FR","002","Africa","Comoros","l'Union des Comores","No"
"FR","142","Asia","Lebanon","la République libanaise","No"
"FR","150","Europe","Monaco","la Principauté de Monaco","No"
"FR","002","Africa","Madagascar","la République de Madagascar","No"
"FR","002","Africa","Mauritania","la République islamique de Mauritanie","No"
"FR","009","Oceania","New Caledonia","la Nouvelle-Calédonie","No"
"FR","002","Africa","Niger","la République du Niger","No"
"FR","009","Oceania","French Polynesia","la Polynésie française","No"
"FR","002","Africa","Chad","la République du Tchad","No"
"FR","002","Africa","Burundi","la République du Burundi","No"
"ES","419","Latin America and the Caribbean","Colombia","la República de Colombia","Yes"
"ES","419","Latin America and the Caribbean","Ecuador","la República del Ecuador","Yes"
"ES","419","Latin America and the Caribbean","Panama","la República de Panamá","Yes"
"ES","419","Latin America and the Caribbean","Mexico","los Estados Unidos Mexicanos","Yes"
"ES","419","Latin America and the Caribbean","Chile","la República de Chile","Yes"
"ES","419","Latin America and the Caribbean","Bolivia (Plurinational State of)","Estado Plurinacional de Bolivia","Yes"
"ES","419","Latin America and the Caribbean","Dominican Republic","la República Dominicana","Yes"
"ES","419","Latin America and the Caribbean","Uruguay","la República Oriental del Uruguay","Yes"
"ES","419","Latin America and the Caribbean","Cuba","la República de Cuba","Yes"
"ES","419","Latin America and the Caribbean","Costa Rica","la República de Costa Rica","Yes"
"ES","419","Latin America and the Caribbean","Peru","la República del Perú","Yes"
"ES","419","Latin America and the Caribbean","Argentina","la República Argentina","No"
"ES","150","Europe","Spain","el Reino de España","No"
"ES","002","Africa","Equatorial Guinea","la República de Guinea Ecuatorial","No"
"ES","419","Latin America and the Caribbean","Guatemala","la República de Guatemala","No"
"ES","419","Latin America and the Caribbean","Honduras","la República de Honduras","No"
"ES","419","Latin America and the Caribbean","Nicaragua","la República de Nicaragua","No"
"ES","419","Latin America and the Caribbean","Puerto Rico","el Estado Libre Asociado de Puerto Rico","No"
"ES","419","Latin America and the Caribbean","Paraguay","la República del Paraguay","No"
"ES","419","Latin America and the Caribbean","El Salvador","la República de El Salvador","No"
"ES","419","Latin America and the Caribbean","Venezuela (Bolivarian Republic of)","la República Bolivariana de Venezuela","No"
"PT","419","Latin America and the Caribbean","Brazil","República Federativa do Brasil","Yes"
"PT","002","Africa","Angola ","República de Angola","Yes"
"PT","002","Africa","Guinea-Bissau","República da Guiné-Bissau","No"
"PT","002","Africa","Mozambique","República de Moçambique","No"
"PT","002","Africa","Sao Tome and Principe","República Democrática de São Tomé e Príncipe","No"
"PT","002","Africa","Cape Verde","República de Cabo Verde","No"
"EN","150","Europe","The former Yugoslav Republic of Macedonia","The former Yugoslav Republic of Macedonia","Yes"
